流式输出内容被截断，只能显示最后 5000 行内容。
Image  5257: psnr: 13.38751 / bpp_real: 2.12500, saving in out/...
Image  5258: psnr: 11.92047 / bpp_real: 2.09375, saving in out/...
Image  5259: psnr: 14.31364 / bpp_real: 2.04688, saving in out/...
Image  5260: psnr: 10.83994 / bpp_real: 2.04688, saving in out/...
Image  5261: psnr: 15.21717 / bpp_real: 2.29688, saving in out/...
Image  5262: psnr: 14.44140 / bpp_real: 2.12500, saving in out/...
Image  5263: psnr: 10.73475 / bpp_real: 2.00000, saving in out/...
Image  5264: psnr: 11.25598 / bpp_real: 2.23438, saving in out/...
Image  5265: psnr: 15.64659 / bpp_real: 2.15625, saving in out/...
Image  5266: psnr: 12.52229 / bpp_real: 2.06250, saving in out/...
Image  5267: psnr: 18.44040 / bpp_real: 2.10938, saving in out/...
Image  5268: psnr: 11.59993 / bpp_real: 2.18750, saving in out/...
Image  5269: psnr: 16.01373 / bpp_real: 2.15625, saving in out/...
Image  5270: psnr: 10.68964 / bpp_real: 2.09375, saving in out/...
Image  5271: psnr: 13.89426 / bpp_real: 2.35938, saving in out/...
Image  5272: psnr: 16.58616 / bpp_real: 2.71875, saving in out/...
Image  5273: psnr: 12.68704 / bpp_real: 2.12500, saving in out/...
Image  5274: psnr: 15.05464 / bpp_real: 2.17188, saving in out/...
Image  5275: psnr: 13.10508 / bpp_real: 2.17188, saving in out/...
Image  5276: psnr: 17.69508 / bpp_real: 2.50000, saving in out/...
Image  5277: psnr: 13.57622 / bpp_real: 2.03125, saving in out/...
Image  5278: psnr: 14.81390 / bpp_real: 2.21875, saving in out/...
Image  5279: psnr: 15.50173 / bpp_real: 2.29688, saving in out/...
Image  5280: psnr: 13.47235 / bpp_real: 2.09375, saving in out/...
Image  5281: psnr: 15.83500 / bpp_real: 2.18750, saving in out/...
Image  5282: psnr: 15.72151 / bpp_real: 2.10938, saving in out/...
Image  5283: psnr: 18.22605 / bpp_real: 2.15625, saving in out/...
Image  5284: psnr: 20.06184 / bpp_real: 2.15625, saving in out/...
Image  5285: psnr: 21.75433 / bpp_real: 2.32812, saving in out/...
Image  5286: psnr: 16.58573 / bpp_real: 2.20312, saving in out/...
Image  5287: psnr: 14.62118 / bpp_real: 2.12500, saving in out/...
Image  5288: psnr: 16.59592 / bpp_real: 2.15625, saving in out/...
Image  5289: psnr: 15.20551 / bpp_real: 2.56250, saving in out/...
Image  5290: psnr: 11.78064 / bpp_real: 2.14062, saving in out/...
Image  5291: psnr: 14.58889 / bpp_real: 2.17188, saving in out/...
Image  5292: psnr: 14.08652 / bpp_real: 2.10938, saving in out/...
Image  5293: psnr: 14.67369 / bpp_real: 2.06250, saving in out/...
Image  5294: psnr: 17.96015 / bpp_real: 2.40625, saving in out/...
Image  5295: psnr: 16.23559 / bpp_real: 2.28125, saving in out/...
Image  5296: psnr: 19.87701 / bpp_real: 2.45312, saving in out/...
Image  5297: psnr: 17.00453 / bpp_real: 2.61719, saving in out/...
Image  5298: psnr: 16.03806 / bpp_real: 2.23438, saving in out/...
Image  5299: psnr: 17.63331 / bpp_real: 2.12500, saving in out/...
Image  5300: psnr: 13.74790 / bpp_real: 2.20312, saving in out/...
Image  5301: psnr: 12.00964 / bpp_real: 2.04688, saving in out/...
Image  5302: psnr: 13.69734 / bpp_real: 2.17188, saving in out/...
Image  5303: psnr: 10.57406 / bpp_real: 2.06250, saving in out/...
Image  5304: psnr: 15.96639 / bpp_real: 2.29688, saving in out/...
Image  5305: psnr: 15.84796 / bpp_real: 2.28125, saving in out/...
Image  5306: psnr: 12.21036 / bpp_real: 2.10938, saving in out/...
Image  5307: psnr: 11.18782 / bpp_real: 1.98438, saving in out/...
Image  5308: psnr: 16.07628 / bpp_real: 2.40625, saving in out/...
Image  5309: psnr: 17.12071 / bpp_real: 2.14062, saving in out/...
Image  5310: psnr: 12.30138 / bpp_real: 2.28125, saving in out/...
Image  5311: psnr: 14.24816 / bpp_real: 2.45312, saving in out/...
Image  5312: psnr: 17.61236 / bpp_real: 2.56250, saving in out/...
Image  5313: psnr: 15.78458 / bpp_real: 2.50000, saving in out/...
Image  5314: psnr: 16.77208 / bpp_real: 2.23438, saving in out/...
Image  5315: psnr: 16.49041 / bpp_real: 2.25000, saving in out/...
Image  5316: psnr: 18.78385 / bpp_real: 2.60156, saving in out/...
Image  5317: psnr: 15.03352 / bpp_real: 2.20312, saving in out/...
Image  5318: psnr: 17.61687 / bpp_real: 2.37500, saving in out/...
Image  5319: psnr: 12.93943 / bpp_real: 2.29688, saving in out/...
Image  5320: psnr: 20.86655 / bpp_real: 2.84375, saving in out/...
Image  5321: psnr: 16.04903 / bpp_real: 2.18750, saving in out/...
Image  5322: psnr: 13.96787 / bpp_real: 2.12500, saving in out/...
Image  5323: psnr: 15.49482 / bpp_real: 2.25000, saving in out/...
Image  5324: psnr: 17.51535 / bpp_real: 2.35938, saving in out/...
Image  5325: psnr: 11.25155 / bpp_real: 2.20312, saving in out/...
Image  5326: psnr: 12.38926 / bpp_real: 2.18750, saving in out/...
Image  5327: psnr: 9.51895 / bpp_real: 2.35938, saving in out/...
Image  5328: psnr: 15.40754 / bpp_real: 2.10938, saving in out/...
Image  5329: psnr: 23.43602 / bpp_real: 3.21875, saving in out/...
Image  5330: psnr: 13.46808 / bpp_real: 2.06250, saving in out/...
Image  5331: psnr: 14.76111 / bpp_real: 2.12500, saving in out/...
Image  5332: psnr: 14.55754 / bpp_real: 2.09375, saving in out/...
Image  5333: psnr: 16.77571 / bpp_real: 2.37500, saving in out/...
Image  5334: psnr: 13.31626 / bpp_real: 2.34375, saving in out/...
Image  5335: psnr: 15.80486 / bpp_real: 2.21875, saving in out/...
Image  5336: psnr: 12.53816 / bpp_real: 2.14062, saving in out/...
Image  5337: psnr: 14.34009 / bpp_real: 2.28125, saving in out/...
Image  5338: psnr: 13.51774 / bpp_real: 2.03125, saving in out/...
Image  5339: psnr: 14.42399 / bpp_real: 2.60156, saving in out/...
Image  5340: psnr: 15.21553 / bpp_real: 2.31250, saving in out/...
Image  5341: psnr: 16.68504 / bpp_real: 2.31250, saving in out/...
Image  5342: psnr: 12.39719 / bpp_real: 2.06250, saving in out/...
Image  5343: psnr: 15.45822 / bpp_real: 2.17188, saving in out/...
Image  5344: psnr: 12.68516 / bpp_real: 2.06250, saving in out/...
Image  5345: psnr: 16.35082 / bpp_real: 2.29688, saving in out/...
Image  5346: psnr: 18.85448 / bpp_real: 2.70312, saving in out/...
Image  5347: psnr: 15.47804 / bpp_real: 2.17188, saving in out/...
Image  5348: psnr: 20.31658 / bpp_real: 2.71875, saving in out/...
Image  5349: psnr: 15.21828 / bpp_real: 2.18750, saving in out/...
Image  5350: psnr: 13.61698 / bpp_real: 2.15625, saving in out/...
Image  5351: psnr: 12.79914 / bpp_real: 2.26562, saving in out/...
Image  5352: psnr: 12.39696 / bpp_real: 2.14062, saving in out/...
Image  5353: psnr: 14.82576 / bpp_real: 2.28125, saving in out/...
